experiment_id,phase,config_description,hash_mode,rate_limit,lockout,captcha,pepper,totp,attack_type,target,target_category,success,total_attempts,time_to_crack,total_time_seconds,avg_latency_ms,attempts_per_second
87,2,Phase 2: SHA256 - RATE_LIMIT + CAPTCHA,SHA256,True,False,True,False,False,brute_force,weak_user_01,weak,False,1,,0.17087697982788086,170.87700313815503,5.852163357564426
88,2,Phase 2: SHA256 - RATE_LIMIT + LOCKOUT,SHA256,True,True,False,False,False,brute_force,weak_user_01,weak,True,10,302.3190174102783,302.3190174102783,163.07320911427684,0.03307764124685865
89,2,Phase 2: SHA256 - RATE_LIMIT + LOCKOUT + CAPTCHA + PEPPER + TOTP,SHA256,True,True,True,True,True,brute_force,weak_user_01,weak,False,1,,0.19383668899536133,193.836640070197,5.158982054341275
90,2,Phase 2: SHA256 - TOTP,SHA256,False,False,False,False,True,brute_force,weak_user_01,weak,False,100,,14.58940577507019,145.89404880933844,6.854288758687905
91,2,Phase 2: ARGON2ID - CAPTCHA,ARGON2ID,False,False,True,False,False,password_spraying,medium_user_01,medium,False,1,,0.2821028232574463,282.10276961485846,3.544806778085318
92,2,Phase 2: ARGON2ID - LOCKOUT,ARGON2ID,False,True,False,False,False,password_spraying,medium_user_01,medium,False,50,,12.535018682479858,250.70036855781728,3.988825327391397
93,2,Phase 2: ARGON2ID - LOCKOUT + CAPTCHA,ARGON2ID,False,True,True,False,False,password_spraying,medium_user_01,medium,False,1,,0.2872469425201416,287.24687847551763,3.4813251317022478
94,1,Phase 1: ARGON2ID - No protections,ARGON2ID,False,False,False,False,False,password_spraying,medium_user_01,medium,True,1510,376.0111553668976,376.0111553668976,249.0140122933294,4.0158383027934335
95,2,Phase 2: ARGON2ID - PEPPER,ARGON2ID,False,False,False,True,False,password_spraying,medium_user_01,medium,True,1510,378.4569528102875,378.4569528102875,250.63374374884657,3.989885742056723
96,2,Phase 2: ARGON2ID - RATE_LIMIT,ARGON2ID,True,False,False,False,False,password_spraying,medium_user_01,medium,True,1510,1128.0163340568542,1128.0163340568542,250.34194240438993,1.3386330981302024
97,2,Phase 2: ARGON2ID - RATE_LIMIT + CAPTCHA,ARGON2ID,True,False,True,False,False,password_spraying,medium_user_01,medium,False,1,,0.2188262939453125,218.8263349096227,4.569834739557911
98,2,Phase 2: ARGON2ID - RATE_LIMIT + LOCKOUT,ARGON2ID,True,True,False,False,False,password_spraying,medium_user_01,medium,False,50,,32.13820695877075,242.76415925924434,1.5557806340641114
99,2,Phase 2: ARGON2ID - RATE_LIMIT + LOCKOUT + CAPTCHA + PEPPER + TOTP,ARGON2ID,True,True,True,True,True,password_spraying,medium_user_01,medium,False,1,,0.2737758159637451,273.77578779576805,3.6526235762636734
100,2,Phase 2: ARGON2ID - TOTP,ARGON2ID,False,False,False,False,True,password_spraying,medium_user_01,medium,False,6000,,1499.0100779533386,249.83501468171215,4.002641535400517
101,2,Phase 2: BCRYPT - CAPTCHA,BCRYPT,False,False,True,False,False,password_spraying,medium_user_01,medium,False,1,,0.3909449577331543,390.94501268057184,2.5579048411274456
102,2,Phase 2: BCRYPT - LOCKOUT,BCRYPT,False,True,False,False,False,password_spraying,medium_user_01,medium,False,50,,17.859471082687378,357.18942301442644,2.799634981825919
103,2,Phase 2: BCRYPT - LOCKOUT + CAPTCHA,BCRYPT,False,True,True,False,False,password_spraying,medium_user_01,medium,False,1,,0.31821370124816895,318.2136064751784,3.1425422477962965
104,1,Phase 1: BCRYPT - No protections,BCRYPT,False,False,False,False,False,password_spraying,medium_user_01,medium,True,1510,529.3925037384033,529.3925037384033,350.5910622784181,2.8523259950544353
105,2,Phase 2: BCRYPT - PEPPER,BCRYPT,False,False,False,True,False,password_spraying,medium_user_01,medium,True,1510,527.9759278297424,527.9759278297424,349.65293085489765,2.85997887480759
106,2,Phase 2: BCRYPT - RATE_LIMIT,BCRYPT,True,False,False,False,False,password_spraying,medium_user_01,medium,True,1510,1277.0916693210602,1277.0916693210602,349.0673323099534,1.1823740114151404
107,2,Phase 2: BCRYPT - RATE_LIMIT + CAPTCHA,BCRYPT,True,False,True,False,False,password_spraying,medium_user_01,medium,False,1,,0.3436903953552246,343.69037573457103,2.9095954193495577
108,2,Phase 2: BCRYPT - RATE_LIMIT + LOCKOUT,BCRYPT,True,True,False,False,False,password_spraying,medium_user_01,medium,False,50,,37.6084098815918,352.1682052463173,1.329489870947017
109,2,Phase 2: BCRYPT - RATE_LIMIT + LOCKOUT + CAPTCHA + PEPPER + TOTP,BCRYPT,True,True,True,True,True,password_spraying,medium_user_01,medium,False,1,,0.3636460304260254,363.6460252563214,2.7499268968465334
110,2,Phase 2: BCRYPT - TOTP,BCRYPT,False,False,False,False,True,password_spraying,medium_user_01,medium,False,6000,,2101.6667144298553,350.277787407799,2.854877016800303
111,2,Phase 2: SHA256 - CAPTCHA,SHA256,False,False,True,False,False,password_spraying,medium_user_01,medium,False,1,,0.1078643798828125,107.86435953771712,9.270901117555525
112,2,Phase 2: SHA256 - LOCKOUT,SHA256,False,True,False,False,False,password_spraying,medium_user_01,medium,False,50,,7.163139343261719,143.26279189287405,6.980179723438497
113,2,Phase 2: SHA256 - LOCKOUT + CAPTCHA,SHA256,False,True,True,False,False,password_spraying,medium_user_01,medium,False,1,,0.12738347053527832,127.38343292264094,7.850312099347726
114,1,Phase 1: SHA256 - No protections,SHA256,False,False,False,False,False,password_spraying,medium_user_01,medium,True,1510,226.52811884880066,226.52811884880066,150.01862525147627,6.665839135881716
115,2,Phase 2: SHA256 - PEPPER,SHA256,False,False,False,True,False,password_spraying,medium_user_01,medium,True,1510,228.73675799369812,228.73675799369812,151.48129710792074,6.601475046007261
116,2,Phase 2: SHA256 - RATE_LIMIT,SHA256,True,False,False,False,False,password_spraying,medium_user_01,medium,True,1510,976.3778133392334,976.3778133392334,149.9190815716553,1.546532478893357
117,2,Phase 2: SHA256 - RATE_LIMIT + CAPTCHA,SHA256,True,False,True,False,False,password_spraying,medium_user_01,medium,False,1,,0.1994924545288086,199.49234154661156,5.012720919003934
118,2,Phase 2: SHA256 - RATE_LIMIT + LOCKOUT,SHA256,True,True,False,False,False,password_spraying,medium_user_01,medium,False,50,,27.48057270050049,149.61144666942994,1.8194671757728462
119,2,Phase 2: SHA256 - RATE_LIMIT + LOCKOUT + CAPTCHA + PEPPER + TOTP,SHA256,True,True,True,True,True,password_spraying,medium_user_01,medium,False,1,,0.1581733226776123,158.17334853141386,6.322178627038092
120,2,Phase 2: SHA256 - TOTP,SHA256,False,False,False,False,True,password_spraying,medium_user_01,medium,False,6000,,901.9199061393738,150.3199853111689,6.652475412903038
121,2,Phase 2: ARGON2ID - CAPTCHA,ARGON2ID,False,False,True,False,False,password_spraying,strong_user_01,strong,False,1,,0.24997758865356445,249.97754518173153,4.000358613691032
122,2,Phase 2: ARGON2ID - LOCKOUT,ARGON2ID,False,True,False,False,False,password_spraying,strong_user_01,strong,False,50,,12.459472179412842,249.18945090588247,4.013011087469379
123,2,Phase 2: ARGON2ID - LOCKOUT + CAPTCHA,ARGON2ID,False,True,True,False,False,password_spraying,strong_user_01,strong,False,1,,0.2885005474090576,288.50043374521346,3.4661979291918823
124,1,Phase 1: ARGON2ID - No protections,ARGON2ID,False,False,False,False,False,password_spraying,strong_user_01,strong,True,4550,1137.3763456344604,1137.3763456344604,249.97282166486806,4.000434875812265
125,2,Phase 2: ARGON2ID - PEPPER,ARGON2ID,False,False,False,True,False,password_spraying,strong_user_01,strong,True,4550,1140.5268325805664,1140.5268325805664,250.66523877387144,3.9893844406142804
126,2,Phase 2: ARGON2ID - RATE_LIMIT,ARGON2ID,True,False,False,False,False,password_spraying,strong_user_01,strong,True,4550,3409.2581079006195,3409.2581079006195,250.38639737685355,1.3346012111713759
127,2,Phase 2: ARGON2ID - RATE_LIMIT + CAPTCHA,ARGON2ID,True,False,True,False,False,password_spraying,strong_user_01,strong,False,1,,0.296384334564209,296.384361212135,3.373997486980403
128,2,Phase 2: ARGON2ID - RATE_LIMIT + LOCKOUT,ARGON2ID,True,True,False,False,False,password_spraying,strong_user_01,strong,False,50,,32.5967698097229,251.9353837703064,1.5338943181138796
129,2,Phase 2: ARGON2ID - RATE_LIMIT + LOCKOUT + CAPTCHA + PEPPER + TOTP,ARGON2ID,True,True,True,True,True,password_spraying,strong_user_01,strong,False,1,,0.24310517311096191,243.10524988153497,4.1134459921326485
130,2,Phase 2: ARGON2ID - TOTP,ARGON2ID,False,False,False,False,True,password_spraying,strong_user_01,strong,False,6000,,1497.8369588851929,249.63949303561841,4.005776439423466
131,2,Phase 2: BCRYPT - CAPTCHA,BCRYPT,False,False,True,False,False,password_spraying,strong_user_01,strong,False,1,,0.33127832412719727,331.27829673467164,3.018609812865514
132,2,Phase 2: BCRYPT - LOCKOUT,BCRYPT,False,True,False,False,False,password_spraying,strong_user_01,strong,False,50,,17.59853720664978,351.97074085648904,2.841145227746941
133,2,Phase 2: BCRYPT - LOCKOUT + CAPTCHA,BCRYPT,False,True,True,False,False,password_spraying,strong_user_01,strong,False,1,,0.3984532356262207,398.45318295129334,2.5097048049525084
134,1,Phase 1: BCRYPT - No protections,BCRYPT,False,False,False,False,False,password_spraying,strong_user_01,strong,True,4550,1590.3859605789185,1590.3859605789185,349.5353762781106,2.8609407482091633
135,2,Phase 2: BCRYPT - PEPPER,BCRYPT,False,False,False,True,False,password_spraying,strong_user_01,strong,True,4550,1591.071286201477,1591.071286201477,349.6859960618425,2.8597084489298203
136,2,Phase 2: BCRYPT - RATE_LIMIT,BCRYPT,True,False,False,False,False,password_spraying,strong_user_01,strong,True,4550,3866.8986492156982,3866.8986492156982,350.96673640145127,1.1766535440288437
137,2,Phase 2: BCRYPT - RATE_LIMIT + CAPTCHA,BCRYPT,True,False,True,False,False,password_spraying,strong_user_01,strong,False,2,,30.751125812530518,375.5629319118363,0.06503826923907406
138,2,Phase 2: BCRYPT - RATE_LIMIT + LOCKOUT,BCRYPT,True,True,False,False,False,password_spraying,strong_user_01,strong,False,50,,37.68356966972351,353.6714024419256,1.3268382066301962
